BIOBASE accession	HGNC	Illumina	
GN000000585	GNG3	0001940035;ILMN_1806147	
GN000085356	KLHL40	0006020053;ILMN_1762887;ILMN_1754048	
GN000080671	RSAD2	0006590403;ILMN_1657871	
GN000000922	SKIV2L	0007040075;ILMN_1666512	
GN000126134	OR2G6	0004590403;ILMN_1786760;ILMN_1766087	
GN000008387	LEP	0002320519;ILMN_2207505;ILMN_2207504;ILMN_1685470;ILMN_1911804;ILMN_1917153	
GN000000970	TERF2	0002190450;ILMN_1768488	
GN000158685	STX17	0002970358;ILMN_1750896	
GN000124406	RSPH4A	ILMN_2068698;ILMN_1689212;ILMN_1811427	
GN000071028	NMNAT1	ILMN_1809541;ILMN_1692413	
GN000199121	SMCO1	0002480348;ILMN_3247334	
GN000087797	GPR137C	0003800068;ILMN_1741224	
GN000007793	ARHGDIB	0004150156;ILMN_1678143	
GN000006375	TALDO1	0003190148;ILMN_1670998;ILMN_1746588	
GN000001788	DERL2	0006200600;0104050341;ILMN_1877068;ILMN_1761969	
GN000062222	OLAH	0003940286;ILMN_1674696	
GN000001145	MTMR2	0002260487;ILMN_1898297;ILMN_1659952;ILMN_2351029	
GN000078910	IL1F10	0003190097;0001230193;ILMN_1790556;ILMN_2359733;ILMN_1717903	
GN000087748	UBN2	0006550270;0003140292;ILMN_1685855;ILMN_3248928;ILMN_1905605	
GN000005509	SELPLG	0005290487;ILMN_1734855;ILMN_1760560	
GN000008593	PPP2R5B	0000520113;ILMN_2124082;ILMN_1693975	
GN000117425	CTAGE15	0003290168;ILMN_2231608;ILMN_1764697;ILMN_1806463	
GN000003483	TBXA2R	0003060139;0004570441;ILMN_1794840;ILMN_1739178;ILMN_1744251	
GN000164982	NRK	0002360039;ILMN_1687392	
GN000079203	RRP36	0000110035;ILMN_1815039	
GN000064751	CELF5	0004200497;ILMN_1672871	
GN000010156	BUB3	0000630180;ILMN_1778764;ILMN_1693145;ILMN_2245180	
GN000086134	FAM71A	0001850059;ILMN_1709472	
GN000001792	EMC9	0000510300;ILMN_1755677	
GN000162637	LMLN	0000610056;ILMN_1815716	
GN000170246	PLA2G2C	ILMN_3237030;ILMN_1656867	
GN000004880	ATOH1	0002320092;ILMN_1740671	
GN000159511	UBXN7	0003850520;ILMN_1733116;ILMN_1743594	
GN000004273	HSPA8	0001400273;0001400131;ILMN_2413084;ILMN_1689294;ILMN_1686367;ILMN_1754332	
GN000009247	STK10	0006660176;ILMN_1651692	
GN000004972	CNTFR	0004540603;0001780736;ILMN_1725910;ILMN_1809456	
GN000108797	SLC35F1	0004230180;ILMN_1749848	
GN000010585	LAIR1	0003450242;ILMN_2389211	
GN000000844	PSMD8	0002030041;ILMN_1733256	
GN000050404	NDN	0003120537;ILMN_1730845;ILMN_1692058	
GN000082461	SLC9B1	0005890008;ILMN_1691336;ILMN_1724931;ILMN_1673417	
GN000160589	CLK4	0005220524;ILMN_1695853	
GN000043270	SETD2	0000070672;0000360139;ILMN_1662809;ILMN_1769473	
GN000076391	TAF7L	0001240408;ILMN_1755638	
GN000163742	SPTY2D1	0001690091;ILMN_1728699	
GN000001052	PABPN1	0000940066;ILMN_1759154	
GN000005886	SKAP1	0003830390;ILMN_1751400	
GN000057467	CA5B	0004540687;ILMN_1672807	
GN000008113	STIP1	0003780270;ILMN_1789510;ILMN_1745906	
GN000001567	AGTPBP1	0003170181;ILMN_1718071	
GN000129257	SMTNL1	0001190368;ILMN_1704956	
GN000062397	TENM3	0006040369;ILMN_2336094	
GN000008030	YBX1	ILMN_1669424;ILMN_2124769	
GN000162652	RCCD1	0002970128;ILMN_2409318;ILMN_1797738;ILMN_2391324;ILMN_1722119	
GN000000084	LHX3	0000130603;0003940176;ILMN_2284893;ILMN_1665011;ILMN_1739414;ILMN_2390435;ILMN_1701340	
GN000164844	GDPD4	0006660162;ILMN_1742040	
GN000002090	CLDND1	0006100253;ILMN_1710326;ILMN_2352563	
GN000051896	FRMPD4	0002470519;ILMN_1754018	
GN000117329	TMEM89	ILMN_1694339	
GN000050736	RAB3B	0002100039;ILMN_1722845	
GN000076337	CPSF7	0003440040;ILMN_1680494	
GN000002176	POLD4	0000450390;ILMN_1803772	
GN000002949	BARHL2	0002030441;0005550427;0103290242;ILMN_1706493;ILMN_1909333	
GN000049224	CNGB3	0000670605;ILMN_1750859	
GN000076466	MZT2B	ILMN_1717184	
GN000161769	PDCL3	0002320520;ILMN_1702806;ILMN_2128623	
GN000008090	IL16	0002570390;0000510112;ILMN_1813572;ILMN_2290628	
GN000082532	C16orf71	0002760563;0106130735;ILMN_1683370	
GN000000174	UMPS	0000780300;ILMN_1757437	
GN000162606	KRTAP9-4	0005690592;ILMN_2209088;ILMN_1696738	
GN000125744	BEX5	0006770324;ILMN_1806473	
GN000004680	CITED4	0005220008;ILMN_1787691	
GN000157547	CYB561	0001400301;ILMN_1729733;ILMN_1771179;ILMN_1882708;ILMN_2378376;ILMN_1679721	
GN000079237	KCNH7	0005700458;0002190711;0005700050;ILMN_1788664;ILMN_1656577;ILMN_1687219	
GN000006322	CDC16	ILMN_2339796;ILMN_2256765	
GN000158056	PPP2R5E	0001230711;ILMN_1666761	
GN001033783	MIR6834	0001990025;ILMN_1661490	
GN000079023	TMTC4	0000780037;ILMN_2259223;ILMN_2344182;ILMN_1762095	
GN000087678	NOP9	0000130706;ILMN_1775359	
GN000007633	PREB	0006290142;ILMN_1733930	
GN000049365	BLMH	0002630402;ILMN_1721921	
GN000000168	RNGTT	0004920538;ILMN_1734198	
GN000085580	TRIM60	0000780647;ILMN_1778986;ILMN_2094630;ILMN_2094631	
GN000010047	DDX17	0002360019;0001230014;0000840707;ILMN_1774513;ILMN_1764285;ILMN_1724114;ILMN_2371590	
GN000162978	DYNLL2	0001400010;ILMN_1772796	
GN000051516	DYRK4	0006370440;ILMN_1681269;ILMN_1777991	
GN000002309	ACTA1	0001940039;ILMN_2125869	
GN000162547	FBXO18	0003360064;0003360338;ILMN_1664779;ILMN_1729430	
GN000157650	FLNB	ILMN_1752635;ILMN_1664922	
GN000158200	SGCB	0001690746;ILMN_1810324;ILMN_2194467	
GN000005527	SKI	0003060072;ILMN_1710598	
GN000158207	ST3GAL4	0005340528;ILMN_1750086;ILMN_2204545	
GN000001607	SPO11	0002810128;0000580142;ILMN_2392747;ILMN_1796655;ILMN_1687970	
GN000198977	BPESC1	0003140110;ILMN_1793049	
GN000157347	AHRR	0003290438;ILMN_1782679	
GN000010699	RPA1	ILMN_3249261;ILMN_1795719	
GN000164378	GAS2L3	0004120070;ILMN_2211003;ILMN_1744567	
GN000783175	MIR4505	ILMN_1714218	
GN000005537	SMN1	0002480451;ILMN_2351902;ILMN_1865612;ILMN_3291715;ILMN_1665022;ILMN_3215206;ILMN_3214945	
GN000297560	FAM185BP	ILMN_1660927	
GN000160922	ZNF649	0002850014;ILMN_1699249	
GN000160308	KIF16B	0006370427;0001570725;ILMN_2152828;ILMN_1772786	
GN000297197	SMIM15	ILMN_3240730	
GN000157757	ZSCAN22	0001500673;ILMN_1704765	
GN000001866	NELFCD	0003450040;0006420286;ILMN_1711450;ILMN_1663954	
GN000164957	SLC9C1	ILMN_1711111	
GN000158226	SLC7A4	0006220600;ILMN_1774229	
GN000050082	ICAM2	0000110592;ILMN_1786823	
GN000090523	WBSCR28	0006100463;ILMN_1664267	
GN000001799	MRPL2	0006130400;ILMN_1763264	
GN000085330	KLHDC9	0002900670;ILMN_2405470	
GN000159829	SS18L2	0000450341;ILMN_1796407	
GN000124367	TSPO2	0005670026;ILMN_1669208	
GN000062479	ZC3H15	ILMN_2062112	
GN000161899	MMRN2	0004780148;ILMN_1715788	
GN000085726	HEATR9	0002370520;ILMN_1675097	
GN000161762	AUNIP	0002030279;ILMN_1787280	
GN000163722	TMEM237	0002450075;ILMN_1800958	
GN000001805	SIDT2	0002260022;ILMN_1791912	
GN000061357	CD320	0005700292;ILMN_2115633;ILMN_1670574	
GN000001231	GOSR2	0004540056;0006510408;ILMN_1807072;ILMN_1656293;ILMN_1722812	
GN000006407	PDE4D	0001850022;ILMN_1791483	
GN000157753	HDLBP	0006350707;0006940064;0101500441;ILMN_1699797;ILMN_1678252;ILMN_1756426	
GN000165306	PHOSPHO2	0005130685;ILMN_1728380;ILMN_2152865	
GN000158020	PGM5	0103060053;0004850450;ILMN_1728337;ILMN_1709590;ILMN_2271149;ILMN_1781388;ILMN_1803278	
GN000043262	TRIP13	0001850373;ILMN_1796589	
GN000163159	SMIM19	0002690372;ILMN_1677385	
GN000002352	HBG1	0006900332;ILMN_1796678	
GN000003343	IGF1R	0106650435;0001980601;0004920070;0003140100;ILMN_1691061;ILMN_1721653;ILMN_1744023;ILMN_1675048	
GN000303653	MIR1324	ILMN_3310316	
GN000003327	EFNA1	0006620204;0003610132;ILMN_2371053;ILMN_1775903;ILMN_2371055	
GN000162892	SLC26A8	0001340181;0006620088;0005080400;ILMN_1672575;ILMN_1773757;ILMN_1755843;ILMN_1656849;ILMN_2394210	
GN000087695	C10orf91	0007000717;ILMN_2183519	
GN000092358	RBM44	0000870097;ILMN_1736217	
GN000052354	NEU3	0006940332;ILMN_1740524;ILMN_1792588	
GN000229384	MIR135A2	ILMN_3308460	
GN000004746	AP2A1	0000780706;0001940136;ILMN_1815306;ILMN_1673108	
GN000164307	GOLGA8G	0102810088;ILMN_1790740;ILMN_1797503;ILMN_1792191;ILMN_3291594;ILMN_1775716	
GN000087840	RSPO1	0006520142;ILMN_1682937	
GN000001672	FBXO24	0006370592;0004480685;ILMN_1745672;ILMN_1686466;ILMN_1786304	
GN000158573	GDF7	0007050025;0102320167;ILMN_1803881;ILMN_1852122	
GN000159934	WBP11	0003290037;ILMN_1766435;ILMN_1661051	
GN000001647	SAMHD1	0004610010;ILMN_1721026;ILMN_1751472	
GN000162591	FAM83A	0002060091;ILMN_1670158;ILMN_2239774;ILMN_1752995;ILMN_1796479	
GN000898503	USP17L29	0002480020;ILMN_3194480;ILMN_3221852;ILMN_1726758;ILMN_3237186;ILMN_2335123;ILMN_3298585;ILMN_3298384;ILMN_1754640;ILMN_3237089;ILMN_1684499;ILMN_1729209;ILMN_3237263	
GN000156527	PXDN	0004230129;ILMN_3237946;ILMN_2363658	
GN000117397	PIWIL3	ILMN_1735693	
GN000160762	TRMT11	0000460711;ILMN_1717854;ILMN_1805481;ILMN_1761148	
GN000090444	KRTAP10-10	0005220068;ILMN_1688334;ILMN_1710929;ILMN_2135306	
GN000091038	ZNF677	0000670673;ILMN_1802093	
GN000158541	EIF3A	0000130138;ILMN_1708164;ILMN_3242748	
GN000159459	OLFML2B	0002680113;ILMN_1765557	
GN000110644	SPOPL	0104010239;ILMN_2095506;ILMN_1807649	
GN000051807	CSAG2	0105360128;0003870446;ILMN_2043126;ILMN_3260910;ILMN_2297352;ILMN_3184448	
GN000297160	LINC00336	0006660600;ILMN_1717726	
GN000159051	USP19	ILMN_1718679	
GN000005822	GNPDA1	0000670672;ILMN_1784709	
GN000129313	EXOC3L4	0004810068;ILMN_1773017;ILMN_2194388	
GN000002989	E2F6	0000070170;ILMN_1656196;ILMN_2309608	
GN000162319	EMILIN2	0006020142;ILMN_1697268	
GN000199263	PRR26	0103190154;ILMN_1654413;ILMN_1877007	
GN000199328	CPSF4L	ILMN_3246304	
GN000065214	NARFL	0002760100;ILMN_1813833	
GN000001228	SEC22B	0005720162;ILMN_1784238;ILMN_1887230	
GN000092314	CCDC172	0006100575;ILMN_1776399;ILMN_1702584	
GN000049900	GFPT1	0002480373;ILMN_2220187;ILMN_2220184;ILMN_1696000	
GN000165158	FAM43B	0004780136;ILMN_1754921	
GN000302890	MIR634	ILMN_3310633	
GN000003858	FOXM1	0005390044;0003840594;ILMN_1716400;ILMN_2344971	
GN000116685	OR10G3	0104920082;ILMN_1726523	
GN000297406	LINC00116	0004540528;ILMN_1693685	
GN000043368	CLUH	0002850079;ILMN_1883455;ILMN_1770719	
GN000082019	CMTM5	0004060672;0006130097;ILMN_1775373	
GN000051136	VSNL1	0005340242;ILMN_2151114;ILMN_1676413	
GN000162060	RNF39	0005360435;0004610086;ILMN_1730223;ILMN_2404746	
GN000050735	RGL2	0002030358;0006380142;ILMN_1759159;ILMN_2124386	
GN000007823	CUX2	0000060075;ILMN_1669876	
GN000080809	DPCR1	0004070100;ILMN_1687625	
GN000076315	FAM124B	0004560750;ILMN_1749878	
GN000043897	ZHX3	0001780112;0100630010;ILMN_1843574;ILMN_1774387	
GN000000364	PSEN1	0002640500;0002640600;0007040537;ILMN_1808548;ILMN_1744267;ILMN_1809193	
GN000071420	BTN2A3P	0002940059;ILMN_1721813	
GN000158977	NOP56	0004230369;ILMN_3235397;ILMN_1705407;ILMN_3241139;ILMN_3235316;ILMN_2209515;ILMN_2044832	
GN000004854	ADCY9	ILMN_1654287	
GN000158762	SNPH	0001090136;ILMN_1697536;ILMN_1757532	
GN000157473	CHI3L2	0002060577;ILMN_1685045;ILMN_1705078;ILMN_2326273	
GN000117307	CDHR4	0002690286;0001230008;ILMN_1678714;ILMN_3236307	
GN000157480	CIDEA	0006400114;0005390154;ILMN_1788184;ILMN_2284810;ILMN_2284804;ILMN_2390318;ILMN_1669419	
GN000085717	TCP11L2	0002230138;ILMN_2231051;ILMN_1772780	
GN000001209	MED26	0001690195;ILMN_1754923;ILMN_1718171	
GN000161973	DOCK5	0001500088;0100110520;ILMN_1752455	
GN000002195	RNF123	0002900093;ILMN_1663605	
GN000000727	NDUFAB1	ILMN_2179018;ILMN_1755521	
GN000163965	NAP1L5	0002480504;ILMN_1773307	
GN000011147	RNU4-2	ILMN_3308138	
GN000076426	ELOVL7	0000510736;ILMN_1740213	
GN000158290	TCTE3	ILMN_1729016;ILMN_1722217	
GN000161907	METTL8	ILMN_1653980	
GN000087866	KIAA0825	0102630528;0001410075;0004570369;0105690538;ILMN_2121147;ILMN_1791650;ILMN_1651608	
GN000003633	ACVRL1	0001780497;ILMN_1807493;ILMN_1659660;ILMN_3250257	
GN000000622	HGD	0002970541;ILMN_2198239;ILMN_1678318;ILMN_1717264;ILMN_3239725;ILMN_1719678	
GN000007733	PARD6A	0000840086;ILMN_1654112;ILMN_2323848	
GN000080086	CSMD2	0006370722;ILMN_1775432	
GN000008268	CCNT1	0104210546;0000780528;ILMN_1692390;ILMN_1817255;ILMN_3239113	
GN000302825	MIR576	ILMN_3308602	
GN000003452	HTR2C	0000670411;ILMN_1660097;ILMN_1767145;ILMN_1801357	
GN000297537	DGCR9	ILMN_3241987	
GN000163958	NPAS4	0004670524;ILMN_1767289;ILMN_1726459	
GN000003440	BDKRB1	0002900435;ILMN_1735355;ILMN_1734611	
GN000089332	S100A7A	0002360056;ILMN_1673191	
GN000111130	ALG11	ILMN_1660856	
GN000303592	MIR1253	ILMN_3308828	
GN000540574	KIAA1671	ILMN_1772821	
GN000001980	BSDC1	0002060138;ILMN_1734483	
GN000125154	ALG10B	ILMN_3251482;ILMN_1730304;ILMN_1666325	
GN000108592	C8orf74	0002480471;ILMN_2096467;ILMN_1749047	
GN000051359	HIST1H3H	0006840746;ILMN_1749368	
GN000000881	RPL15	0002100377;ILMN_1762747	
GN000162816	TPGS1	0004730373;ILMN_2199298	
GN000898204	FAM227A	0004570019;0101410438;ILMN_3201500;ILMN_1811584	
GN000126455	CXorf40B	ILMN_2143261;ILMN_1733654	
GN000001348	FSTL3	0005340601;ILMN_1730670	
GN001089872	CBSL	0005270647;ILMN_1804735	
GN000061390	TRPV2	0001690735;ILMN_2049536;ILMN_1804556	
GN000158282	TBCC	0006450088;ILMN_1743352	
GN000159689	GALNT5	0004280647;ILMN_1658575	
GN000159527	HERC4	0004280139;ILMN_1678922;ILMN_1770665;ILMN_2370160	
GN000162977	SUN5	0006860184;ILMN_1734645	
GN000617036	SLCO1B7	0003850707;ILMN_2050959	
GN000002741	ABCB1	0002060286;ILMN_2094875;ILMN_1812070	
GN000092331	ANKRD30B	ILMN_1730678	
GN000302658	MIR488	ILMN_3308778	
GN000614942	C6orf99	0006420048;ILMN_3191502	
GN000080278	PRSS33	0001740324;0102640358;ILMN_1736831	
GN000001839	IER5	0004610717;ILMN_1721833	
GN000614318	HULC	ILMN_3241495	
GN000091022	FAM19A3	0004050181;ILMN_1764364;ILMN_2318885;ILMN_1714271	
GN000157752	SERPIND1	0001740601;ILMN_1707975	
GN000126152	ZNF772	0104070014;0002030184;0104230403;ILMN_1853420;ILMN_1738124	
GN000008167	SYNJ1	0004010609;0002230671;ILMN_1762303;ILMN_2393968;ILMN_1683647;ILMN_1701991	
GN000005165	HES1	0006900739;ILMN_1710284	
GN000001757	SNX11	0006650019;0004920204;ILMN_1683950;ILMN_1696051	
GN000301513	MIR211	ILMN_3309599	
GN000002804	SFTPB	0003170114;0000130088;ILMN_1669602;ILMN_1727017;ILMN_1656839;ILMN_2359835	
GN000159320	PTGR1	0001050402;ILMN_2225537	
GN000062451	IL26	0004920333;ILMN_2123182;ILMN_1701687	
GN000001879	PIGT	0006940279;ILMN_1738759	
GN000229048	IGHV1-58	ILMN_1776014	
GN000059012	HILPDA	0004670142;ILMN_1659990	
GN000076034	C7orf25	0002450195;ILMN_1751051	
GN000051986	ARHGAP44	0006350181;ILMN_2065022;ILMN_1717005;ILMN_3245564	
GN000085865	EID2	0000060465;ILMN_1704472	
GN000162247	INHBE	0003120435;ILMN_1811767	
GN000001133	TMEM11	0000110463;ILMN_1712050;ILMN_2175265	
GN000616479	ARHGEF38	0102340092;0001850112;0002510168;ILMN_1774117;ILMN_2179915	
GN000071093	VWA1	0007040278;ILMN_1781636;ILMN_1773026;ILMN_1660554;ILMN_3201153;ILMN_2289576;ILMN_1675905	
GN000159768	VPS36	0002650035;ILMN_1802519	
GN000009547	LGALS1	0001740075;ILMN_1723978	
GN000163274	NLRP7	0006520193;ILMN_1798063;ILMN_1652366;ILMN_1658632	
GN000004447	C4BPB	ILMN_1694588;ILMN_2347789	
GN000063896	CCDC88C	0006620609;0002690672;ILMN_3248352	
GN000076179	RNASEH2B	0001090041;ILMN_1782488	
GN000049263	HR	0004560121;0006450017;ILMN_1780625;ILMN_1657505	
GN000160288	ABCA5	0003440253;0001850253;0000870025;ILMN_1722286;ILMN_1784176;ILMN_1749001	
GN000158251	ATL1	0003060408;0002100181;ILMN_3255124;ILMN_2381476;ILMN_1689251;ILMN_3181411	
GN000158108	RAB27A	0003780114;0001850154;0003780048;0005910167;ILMN_1699878;ILMN_1681461;ILMN_2329773;ILMN_1665859	
GN000159671	UBIAD1	0002120575;ILMN_1651872	
GN000161937	CYBRD1	0003440551;ILMN_2087692;ILMN_1712305	
GN000165171	SYT6	0005220167;ILMN_1696167	
GN000085347	DIS3L2	0001850152;ILMN_1745737	
GN000050262	MAGEA10	0001940040;ILMN_1741430;ILMN_1708901	
GN000001475	OGFR	0000730671;ILMN_1728224	
GN000540814	FAM198A	0003940750;ILMN_1658398;ILMN_1668219	
GN000090111	SCP2D1	0000730373;ILMN_1667484;ILMN_1739198	
GN000080923	HTR3C	0003120390;ILMN_1739275	
GN000162535	LRCH3	0000780670;0106620670;ILMN_1757336;ILMN_1868587;ILMN_1877196	
GN000157662	GABRB1	0001850008;ILMN_2159730;ILMN_1657375	
GN000043736	SEPHS1	ILMN_2176768;ILMN_1673369	
GN000083140	RNF183	0004560152;ILMN_1692591	
GN000049877	GAMT	0003170041;0003990270;ILMN_1794595;ILMN_1756469;ILMN_1764355	
GN000162925	FAM3B	0001660273;ILMN_2355486;ILMN_1685767	
GN000297421	PMS2CL	ILMN_2349992;ILMN_2262198;ILMN_1673337;ILMN_1808300;ILMN_1798166;ILMN_2262203	
GN000090460	ZBTB12	0002060280;ILMN_1740777;ILMN_2140380	
GN000076706	PBX4	0002630546;ILMN_1700762	
GN000086465	RC3H1	0007040114;ILMN_1807147	
GN000050215	LCP1	0001850736;ILMN_1662932	
GN000003336	GRIK2	0003130176;0105570427;0002970440;ILMN_1666934;ILMN_2396697;ILMN_2396702;ILMN_1661376	
GN000090095	SIRPD	ILMN_1769886	
GN000051443	PLPP1	0005050433;0006040341;0006770075;ILMN_1739161;ILMN_1676296;ILMN_1783931;ILMN_2343278	
GN000086017	OR5P3	0006400280;ILMN_1774715;ILMN_2140910	
GN000616703	C18orf42	ILMN_1662143	
GN000163884	TTC39C	0003440369;ILMN_1746720;ILMN_1842582	
GN000158149	RPL18	ILMN_1695598;ILMN_2230624	
GN000163875	NKAIN4	0003990408;ILMN_1813639	
GN000129322	FAM69C	0003290138;ILMN_2173500;ILMN_1670718;ILMN_1735401	
GN000064442	SENP2	0002350047;ILMN_2123567;ILMN_1801121	
GN000158188	SDCBP	0003990577;ILMN_2363586;ILMN_2363591;ILMN_1785638	
GN000158569	INPP4B	0105890369;0002760341;ILMN_2198878;ILMN_1767480	
GN000158684	EIF4E2	0100050040;0004120324;ILMN_1738326	
GN000005924	DIAPH3	0102510484;0002260722;ILMN_1874530;ILMN_2373689;ILMN_1695226;ILMN_2275533	
GN000002032	FAM46A	0001990670;ILMN_1740466	
GN000081703	TAAR1	0006220671;ILMN_1744056;ILMN_2197164	
GN000158049	PPIC	ILMN_2223903	
GN000089076	KRBA2	0001240086;ILMN_1685202	
GN000004242	BNC1	0000450494;ILMN_2298301;ILMN_1751465;ILMN_1679464;ILMN_1692748;ILMN_1694767	
GN000162633	CCDC65	0004570270;ILMN_2227195;ILMN_1808552	
GN000076079	PLEKHF1	0005270044;ILMN_1708041	
GN000199073	STMN1	0005340017;0003450369;0003450056;ILMN_2294086;ILMN_1745593;ILMN_1708714;ILMN_1657796;ILMN_1652240;ILMN_3307252	
GN000897406	CMC4	0002680632;ILMN_1814230	
GN000005210	EIF2AK1	0001990692;ILMN_1700815;ILMN_3250614;ILMN_2156267	
GN000156411	TRIM9	0002360035;0003190164;0006350551;0102640139;ILMN_1763433;ILMN_1786697	
GN000163163	GPR146	0006510368;ILMN_1684227	
GN000003014	SHOX2	0004670167;0004200324;0007040601;ILMN_1666777;ILMN_1702979	
GN000001121	TNFSF9	0007000133;ILMN_1751464	
GN000003025	LBX1	0003850270;ILMN_2202134;ILMN_2202133;ILMN_1671532	
GN000162150	TRMT1L	0003990242;ILMN_1665300;ILMN_2193498	
GN000163718	FCRLB	0007040435;ILMN_1782015	
GN000063765	GALNT16	0000050411;ILMN_3239465;ILMN_1652144;ILMN_1799903;ILMN_2077952	
GN000165930	PDE10A	0003520333;ILMN_2121272;ILMN_1782955	
GN000002138	SENP7	0003940594;ILMN_1778294;ILMN_2382354	
GN000082892	C11orf45	0003170075;ILMN_1680102	
GN000163165	ZNF689	0000540673;ILMN_1759008	
GN000001480	ADAMTS13	0003830035;0004070039;ILMN_1787386;ILMN_2413732;ILMN_2286570;ILMN_1662590	
GN000001999	LGI2	0000670088;ILMN_1767900	
GN000162861	TSEN15	0006860408;ILMN_3225244;ILMN_3301824;ILMN_1734486	
GN000001720	SRPX2	0006130129;ILMN_1676213	
GN000164815	TMEM31	0000770528;ILMN_1710312	
GN000001888	ASB4	0006130731;0004060093;0007050039;ILMN_1702618;ILMN_1676066;ILMN_1813668	
GN000129347	PTENP1	ILMN_3240160	
GN000163778	XXYLT1	0002650025;ILMN_1687506;ILMN_1671116	
GN000002879	SOCS1	0006860097;ILMN_1774733	
GN001052178		0102360035;ILMN_1735042	
GN000003871	SIX1	0002470112;0102190687;ILMN_1812702	
GN000051960	TRIM66	0103520184;0006840037;ILMN_3235584	
GN000081980	MRAP2	0004540148;ILMN_3241451;ILMN_1794829	
GN000085890	CADM2	0000360037;ILMN_1664679;ILMN_1910572;ILMN_1664118	
GN000163324	LRRC28	0003360463;ILMN_1794968	
GN000298199	MIR183	ILMN_3310331	
GN000001472	B4GAT1	0007000403;ILMN_1715384;ILMN_1782918;ILMN_3246214	
GN000001747	COMMD9	0001740088;0006130010;ILMN_1706842;ILMN_1808821;ILMN_2063051	
GN000158418	IFRD2	0006180746;0001990541;ILMN_1666194;ILMN_1667432;ILMN_1742031	
GN000158613	CLDN12	0003360400;ILMN_1787657	
GN000158646	CRLF1	0004480044;ILMN_1660567;ILMN_1681515	
GN000163771	HORMAD2	0005290519;ILMN_1679139	
GN000158312	TRO	0005700450;ILMN_2295518;ILMN_2409642	
GN000050486	P2RX1	0000940341;ILMN_1758529	
GN000614374	PRAMEF11	ILMN_3303518;ILMN_3226405	
GN000004945	CD80	0003800253;ILMN_1716736	
GN000154324	POLD2	0000360273;ILMN_1746252	
GN000004907	BDNF	0005270400;0000380619;0003140541;0006860181;0006370377;0005910112;0001780088;ILMN_1809543;ILMN_1751276;ILMN_1712712;ILMN_1719820;ILMN_1793988;ILMN_1706644;ILMN_1761910	
GN000162656	SLC25A51	ILMN_2198499	
GN000296989	PPY2P	0005420528;ILMN_2136926;ILMN_1728413	
GN000116486	OR5AN1	0006130438;ILMN_1711929	
GN000159930	VPS29	0003290398;ILMN_1704619	
GN000157373	ARL3	ILMN_1780444	
GN000001489	SLC7A9	0006660368;ILMN_1735445	
GN000063868	FNIP2	0106620494;ILMN_3237329;ILMN_1819783	
GN000090237	C3orf35	0002900047;0003710021;ILMN_1687391	
GN000156560	CRCP	0003850110;ILMN_1672966;ILMN_1707942;ILMN_3273946;ILMN_2280053;ILMN_2381537;ILMN_3195213	
GN000061974	YTHDF1	0104920438;0006770333;ILMN_1753885	
GN000009276	GORASP1	0000050286;ILMN_1716821	
GN000087658	CCDC117	0003290369;ILMN_1809889;ILMN_2059606	
GN000170282	TCTE1	0005360102;ILMN_1667720	
GN000085804	OFCC1	0006200102;ILMN_1906721;ILMN_1732491	
GN000158315	TRPS1	0004210184;ILMN_1814557	
GN000875093	OR1D5	0000940082;ILMN_3235772;ILMN_1774650;ILMN_1701776	
GN000003511	IKBKG	0003190114;ILMN_1707308	
GN000003725	MAP3K10	0005910010;ILMN_1658152	
GN000156463	SP140	0001770079;ILMN_1703263;ILMN_1652802;ILMN_2246882;ILMN_1778599	
GN000127122	FBXO48	ILMN_2102257;ILMN_1656342	
GN000126179	LDLRAD2	ILMN_1734125;ILMN_1654983	
GN000009128	UBE4A	0005390538;ILMN_1739259	
GN000162118	COLEC12	0005910541;0001850138;ILMN_1689088;ILMN_1679049	
GN000001185	BCL7C	0004120142;ILMN_3252359;ILMN_1708195;ILMN_1701165;ILMN_1788844;ILMN_2371147	
GN000001763	DMGDH	0004200528;ILMN_1789753;ILMN_2117526	
GN000085653	MS4A15	0003870537;ILMN_1721088	
GN000058524	NOL11	0001580402;ILMN_1688971	
GN000004287	DR1	0002340458;0106760139;ILMN_1759983	
GN000540606	TRIM43B	0000510364;ILMN_1725901	
GN000043461	MIEF1	0001340494;0002370253;0104920594;ILMN_1793203;ILMN_1783394;ILMN_1688964	
GN000001221	SCAMP1	0005570215;0006590563;ILMN_1729058;ILMN_3251337;ILMN_1728907	
GN000301506	MIR139	ILMN_3309644	
GN000003805	GATA1	0006350014;ILMN_1797251	
GN000615643	PCDHGA10	0001740091;0006520162;ILMN_2251963;ILMN_2296644;ILMN_2356331;ILMN_1761646	
GN000228975	SNHG22;SCARNA17	ILMN_3245822	
GN000157531	CRYBB2	0000360465;ILMN_1760708	
GN000050175	KLRAP1	ILMN_1795431	
GN000156304	TRIM2	0001050592;ILMN_1745079	
GN000162577	TIGD5	0006020452;ILMN_1692816;ILMN_1705774	
GN000062400	POLR3E	0002630040;ILMN_1742133;ILMN_3241257	
GN000162240	RHNO1	0006590524;ILMN_2105923;ILMN_1666618	
GN000297036	LINC01549	ILMN_1675632	
GN000010923	CYFIP2	0005570133;0101850452;ILMN_2264981;ILMN_2354478;ILMN_1677200	
GN000116922	LRRC37A2	ILMN_2229464	
GN000158803	ZC3H11A	0100730168;0001690041;ILMN_1721733;ILMN_1767514	
